Epoch,Mean Loss,Mean CLIP Similarity,||v||_inf,Epoch Time (s)
1,-0.22690289556980134,0.22690289556980134,0.05000000074505806,338.28559119999954
2,-0.1608208270072937,0.1608208270072937,0.05000000074505806,580.3173154999995
3,-0.14452720952033996,0.14452720952033996,0.05000000074505806,387.3573655
4,-0.1367607501745224,0.1367607501745224,0.05000000074505806,250.76501220000046
5,-0.13245466822385787,0.13245466822385787,0.05000000074505806,252.72364160000052
6,-0.1283497022986412,0.1283497022986412,0.05000000074505806,352.4974551999994
7,-0.12495602166652679,0.12495602166652679,0.05000000074505806,254.05174700000043
8,-0.12197048711776734,0.12197048711776734,0.05000000074505806,247.50710849999996
9,-0.11962818479537964,0.11962818479537964,0.05000000074505806,246.06975669999974
10,-0.11842717134952545,0.11842717134952545,0.05000000074505806,246.1742445
11,-0.11692117953300477,0.11692117953300477,0.05000000074505806,246.4135301999995
12,-0.11569249367713928,0.11569249367713928,0.05000000074505806,243.5727611000002
13,-0.11442811107635498,0.11442811107635498,0.05000000074505806,243.3407715000012
14,-0.1128737775683403,0.1128737775683403,0.05000000074505806,245.06345519999923
15,-0.11194905608892441,0.11194905608892441,0.05000000074505806,243.67350500000066
16,-0.11129233610630035,0.11129233610630035,0.05000000074505806,244.75458310000067
17,-0.11104488521814346,0.11104488521814346,0.05000000074505806,243.98882070000036
18,-0.11066515147686004,0.11066515147686004,0.05000000074505806,243.15143250000074
19,-0.10878345084190369,0.10878345084190369,0.05000000074505806,244.85109460000058
20,-0.10855194270610809,0.10855194270610809,0.05000000074505806,243.81517470000108
