alpha,image_id,reference_path,test_path,height,width,channels,psnr_db,ssim,status
0.5,IMG20260906165230,c:\CSUAP\data\test\IMG20260906165230.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.50\img26.png,2592,1944,3,34.95417119170161,0.9698007702827454,ok
0.5,IMG20260906165231,c:\CSUAP\data\test\IMG20260906165231.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.50\img27.png,2592,1944,3,34.954872206701296,0.9697086811065674,ok
0.5,IMG20260906165235,c:\CSUAP\data\test\IMG20260906165235.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.50\img28.png,2592,1944,3,34.954937104353,0.9717527031898499,ok
0.5,IMG20260906165242,c:\CSUAP\data\test\IMG20260906165242.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.50\img29.png,2592,1944,3,34.951502592763845,0.9725643992424011,ok
0.5,received_2081552955994974,c:\CSUAP\data\test\received_2081552955994974.jpeg,c:\CSUAP\outputs\cloaked\test\alpha_0.50\img30.png,1560,1170,3,34.959539146077205,0.9463300108909607,ok
0.6,4610,c:\CSUAP\data\test\4610.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img1.png,4096,3072,3,33.118751639271736,0.9836888313293457,ok
0.6,4761,c:\CSUAP\data\test\4761.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img2.png,4032,2688,3,33.03092339368314,0.9662072062492371,ok
0.6,5e03b897-22d4-4a14-a22e-ddcd38187020,c:\CSUAP\data\test\5e03b897-22d4-4a14-a22e-ddcd38187020.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img3.png,729,581,3,33.061620799510166,0.8826085925102234,ok
0.6,9b03a6af-302f-4350-8f3d-f68c820cbb7f,c:\CSUAP\data\test\9b03a6af-302f-4350-8f3d-f68c820cbb7f.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img4.png,1312,982,3,33.08606829534299,0.9249775409698486,ok
0.6,a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_2610,c:\CSUAP\data\test\a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_2610.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img5.png,3280,2464,3,33.14285956680586,0.9809327125549316,ok
0.6,a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_7407,c:\CSUAP\data\test\a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_7407.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img6.png,3280,2464,3,33.21369994875988,0.9674966335296631,ok
0.6,d23ff9e4-b149-48a8-aed2-f922a0508488,c:\CSUAP\data\test\d23ff9e4-b149-48a8-aed2-f922a0508488.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img7.png,858,619,3,33.15938183321948,0.8807246088981628,ok
0.6,IMG20250822231100,c:\CSUAP\data\test\IMG20250822231100.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img8.png,2592,1944,3,33.453773646436176,0.9693505167961121,ok
