alpha,n,psnr_db_mean,psnr_db_median,psnr_db_std,psnr_db_ci95_low,psnr_db_ci95_high,ssim_mean,ssim_median,ssim_std,ssim_ci95_low,ssim_ci95_high
0.5,30,35.00088877122939,34.9664302098636,0.08306568553335722,34.969871534497216,35.03190600796157,0.9698790729045867,0.9723487794399261,0.017451602892165317,0.9633625372883868,0.9763956085207867
0.6,30,33.07804010634051,33.04240022810602,0.08566701136795628,33.04605151857799,33.11002869410303,0.9557157675425212,0.9587864875793457,0.02485382276313426,0.9464351976008687,0.9649963374841737
0.7,30,31.840520987547823,31.80463732082523,0.08821572221006303,31.807580695516037,31.873461279579608,0.942832867304484,0.9462193846702576,0.031009543473731215,0.9312537134733256,0.9544120211356424
0.8,30,30.7928733104638,30.75683772183197,0.09008421740414269,30.759235310860042,30.82651131006756,0.9294131696224213,0.9329793751239777,0.036996744450457295,0.9155983582045494,0.9432279810402932
0.9,30,29.864538216208338,29.82865503358194,0.09165651750997246,29.830313110096238,29.898763322320438,0.9153316855430603,0.9190197587013245,0.04286006972451263,0.8993274724860473,0.9313358986000734
1.0,30,28.748831635227756,28.71619425532085,0.0937912539324115,28.713809405435157,28.783853865020355,0.8966583093007405,0.9003982841968536,0.050376128701990514,0.8778475536973014,0.9154690649041797
